x y c
7 10 rgb255=255,255,255
8 10 rgb255=49,0,116
9 10 rgb255=85,105,131
10 10 rgb255=140,180,180
11 10 rgb255=255,255,255
12 10 rgb255=165,112,50
13 10 rgb255=43,79,7
14 10 rgb255=72,25,194
0 9 rgb255=148,82,114
1 9 rgb255=70,32,86
2 9 rgb255=62,90,99
3 9 rgb255=255,255,255
4 9 rgb255=208,139,144
5 9 rgb255=212,14,72
6 9 rgb255=70,13,0
7 9 rgb255=255,255,255
8 9 rgb255=138,93,83
9 9 rgb255=255,200,187
10 9 rgb255=52,139,121
11 9 rgb255=255,255,255
12 9 rgb255=133,152,49
13 9 rgb255=198,149,204
14 9 rgb255=90,162,255
0 8 rgb255=56,63,136
1 8 rgb255=85,255,221
2 8 rgb255=2,153,183
3 8 rgb255=255,255,255
4 8 rgb255=187,188,152
5 8 rgb255=255,169,122
6 8 rgb255=38,81,111
7 8 rgb255=255,255,255
8 8 rgb255=147,67,60
9 8 rgb255=83,74,92
10 8 rgb255=25,146,16
11 8 rgb255=255,255,255
12 8 rgb255=104,104,88
13 8 rgb255=167,77,18
14 8 rgb255=0,65,59
0 7 rgb255=255,255,255
1 7 rgb255=255,255,255
2 7 rgb255=255,255,255
3 7 rgb255=255,255,255
4 7 rgb255=255,255,255
5 7 rgb255=255,255,255
6 7 rgb255=255,255,255
7 7 rgb255=255,255,255
8 7 rgb255=255,255,255
9 7 rgb255=255,255,255
10 7 rgb255=255,255,255
11 7 rgb255=255,255,255
12 7 rgb255=255,255,255
13 7 rgb255=255,255,255
14 7 rgb255=255,255,255
0 6 rgb255=107,131,174
1 6 rgb255=202,137,183
2 6 rgb255=178,146,228
3 6 rgb255=255,255,255
4 6 rgb255=71,74,66
5 6 rgb255=110,40,171
6 6 rgb255=162,139,113
7 6 rgb255=255,255,255
8 6 rgb255=214,209,163
9 6 rgb255=220,208,255
10 6 rgb255=184,164,170
11 6 rgb255=255,255,255
12 6 rgb255=156,139,152
13 6 rgb255=131,69,124
14 6 rgb255=187,162,133
0 5 rgb255=142,0,150
1 5 rgb255=229,128,211
2 5 rgb255=221,117,223
3 5 rgb255=255,255,255
4 5 rgb255=9,97,28
5 5 rgb255=129,158,115
6 5 rgb255=117,255,85
7 5 rgb255=255,255,255
8 5 rgb255=0,180,150
9 5 rgb255=174,240,197
10 5 rgb255=177,125,178
11 5 rgb255=255,255,255
12 5 rgb255=255,31,210
13 5 rgb255=104,113,147
14 5 rgb255=193,154,130
0 4 rgb255=255,119,176
1 4 rgb255=219,56,184
2 4 rgb255=126,114,229
3 4 rgb255=255,255,255
4 4 rgb255=55,253,149
5 4 rgb255=42,174,126
6 4 rgb255=0,219,141
7 4 rgb255=255,255,255
8 4 rgb255=60,162,167
9 4 rgb255=199,172,191
10 4 rgb255=218,125,147
11 4 rgb255=255,255,255
12 4 rgb255=193,0,132
13 4 rgb255=136,151,198
14 4 rgb255=105,66,182
0 3 rgb255=255,255,255
1 3 rgb255=255,255,255
2 3 rgb255=255,255,255
3 3 rgb255=255,255,255
4 3 rgb255=255,255,255
5 3 rgb255=255,255,255
6 3 rgb255=255,255,255
7 3 rgb255=255,255,255
8 3 rgb255=255,255,255
9 3 rgb255=255,255,255
10 3 rgb255=255,255,255
11 3 rgb255=255,255,255
12 3 rgb255=255,255,255
13 3 rgb255=255,255,255
14 3 rgb255=255,255,255
0 2 rgb255=87,104,139
1 2 rgb255=60,19,79
2 2 rgb255=174,164,157
3 2 rgb255=255,255,255
4 2 rgb255=112,124,160
5 2 rgb255=62,255,152
6 2 rgb255=178,83,57
7 2 rgb255=255,255,255
8 2 rgb255=255,216,100
9 2 rgb255=137,101,175
10 2 rgb255=186,0,135
11 2 rgb255=255,255,255
12 2 rgb255=106,205,124
13 2 rgb255=178,224,147
14 2 rgb255=119,171,86
0 1 rgb255=56,99,89
1 1 rgb255=255,238,178
2 1 rgb255=46,0,70
3 1 rgb255=255,255,255
4 1 rgb255=115,90,181
5 1 rgb255=93,170,212
6 1 rgb255=70,63,30
7 1 rgb255=255,255,255
8 1 rgb255=236,165,155
9 1 rgb255=231,45,160
10 1 rgb255=182,70,165
11 1 rgb255=255,255,255
12 1 rgb255=121,164,114
13 1 rgb255=0,101,24
14 1 rgb255=76,205,134
0 0 rgb255=110,153,102
1 0 rgb255=210,197,125
2 0 rgb255=27,62,81
3 0 rgb255=255,255,255
4 0 rgb255=66,138,86
5 0 rgb255=13,164,63
6 0 rgb255=0,178,100
7 0 rgb255=255,255,255
8 0 rgb255=123,196,118
9 0 rgb255=180,164,92
10 0 rgb255=196,144,49
11 0 rgb255=255,255,255
12 0 rgb255=147,150,165
13 0 rgb255=146,103,137
14 0 rgb255=255,237,208
