x y c
13 8 rgb255=126,104,42
14 8 rgb255=8,18,61
0 7 rgb255=255,255,255
1 7 rgb255=255,255,255
2 7 rgb255=255,255,255
3 7 rgb255=255,255,255
4 7 rgb255=255,255,255
5 7 rgb255=255,255,255
6 7 rgb255=255,255,255
7 7 rgb255=255,255,255
8 7 rgb255=255,255,255
9 7 rgb255=255,255,255
10 7 rgb255=255,255,255
11 7 rgb255=255,255,255
12 7 rgb255=255,255,255
13 7 rgb255=255,255,255
14 7 rgb255=255,255,255
0 6 rgb255=32,97,159
1 6 rgb255=99,0,118
2 6 rgb255=140,120,44
3 6 rgb255=255,255,255
4 6 rgb255=65,165,70
5 6 rgb255=75,166,161
6 6 rgb255=139,177,255
7 6 rgb255=255,255,255
8 6 rgb255=203,255,173
9 6 rgb255=90,191,172
10 6 rgb255=143,96,180
11 6 rgb255=255,255,255
12 6 rgb255=137,206,75
13 6 rgb255=152,86,116
14 6 rgb255=0,39,205
0 5 rgb255=87,238,202
1 5 rgb255=193,151,140
2 5 rgb255=95,98,104
3 5 rgb255=255,255,255
4 5 rgb255=118,134,0
5 5 rgb255=160,95,171
6 5 rgb255=52,66,190
7 5 rgb255=255,255,255
8 5 rgb255=104,178,106
9 5 rgb255=98,117,19
10 5 rgb255=98,11,51
11 5 rgb255=255,255,255
12 5 rgb255=152,164,157
13 5 rgb255=155,199,130
14 5 rgb255=134,122,255
0 4 rgb255=131,232,183
1 4 rgb255=133,255,34
2 4 rgb255=86,234,135
3 4 rgb255=255,255,255
4 4 rgb255=254,143,165
5 4 rgb255=176,139,98
6 4 rgb255=137,65,65
7 4 rgb255=255,255,255
8 4 rgb255=0,219,135
9 4 rgb255=160,76,95
10 4 rgb255=193,157,148
11 4 rgb255=255,255,255
12 4 rgb255=144,101,68
13 4 rgb255=162,110,58
14 4 rgb255=142,125,112
0 3 rgb255=255,255,255
1 3 rgb255=255,255,255
2 3 rgb255=255,255,255
3 3 rgb255=255,255,255
4 3 rgb255=255,255,255
5 3 rgb255=255,255,255
6 3 rgb255=255,255,255
7 3 rgb255=255,255,255
8 3 rgb255=255,255,255
9 3 rgb255=255,255,255
10 3 rgb255=255,255,255
11 3 rgb255=255,255,255
12 3 rgb255=255,255,255
13 3 rgb255=255,255,255
14 3 rgb255=255,255,255
0 2 rgb255=250,178,249
1 2 rgb255=73,112,40
2 2 rgb255=0,46,46
3 2 rgb255=255,255,255
4 2 rgb255=210,100,19
5 2 rgb255=90,28,23
6 2 rgb255=89,82,41
7 2 rgb255=255,255,255
8 2 rgb255=173,136,65
9 2 rgb255=103,53,155
10 2 rgb255=50,91,106
11 2 rgb255=255,255,255
12 2 rgb255=168,161,252
13 2 rgb255=117,121,200
14 2 rgb255=76,108,162
0 1 rgb255=147,225,160
1 1 rgb255=34,62,96
2 1 rgb255=21,28,114
3 1 rgb255=255,255,255
4 1 rgb255=84,119,29
5 1 rgb255=179,182,226
6 1 rgb255=118,255,104
7 1 rgb255=255,255,255
8 1 rgb255=255,115,0
9 1 rgb255=161,162,122
10 1 rgb255=120,135,61
11 1 rgb255=255,255,255
12 1 rgb255=99,176,152
13 1 rgb255=82,95,158
14 1 rgb255=59,255,159
0 0 rgb255=177,38,167
1 0 rgb255=96,87,62
2 0 rgb255=255,88,114
3 0 rgb255=255,255,255
4 0 rgb255=134,60,210
5 0 rgb255=0,133,184
6 0 rgb255=100,100,149
7 0 rgb255=255,255,255
8 0 rgb255=90,102,58
9 0 rgb255=115,51,53
10 0 rgb255=186,74,35
11 0 rgb255=255,255,255
12 0 rgb255=98,128,132
13 0 rgb255=0,166,102
14 0 rgb255=127,202,191
