x y c
1 9 rgb255=255,215,140
2 9 rgb255=218,179,117
3 9 rgb255=255,255,255
4 9 rgb255=225,180,156
5 9 rgb255=18,0,48
6 9 rgb255=47,131,145
7 9 rgb255=255,255,255
8 9 rgb255=73,50,0
9 9 rgb255=39,90,70
10 9 rgb255=165,241,227
11 9 rgb255=255,255,255
12 9 rgb255=35,32,16
13 9 rgb255=171,124,129
14 9 rgb255=119,255,176
0 8 rgb255=202,107,163
1 8 rgb255=211,202,126
2 8 rgb255=108,99,55
3 8 rgb255=255,255,255
4 8 rgb255=126,71,81
5 8 rgb255=89,91,131
6 8 rgb255=117,206,220
7 8 rgb255=255,255,255
8 8 rgb255=78,95,41
9 8 rgb255=32,70,53
10 8 rgb255=171,188,108
11 8 rgb255=255,255,255
12 8 rgb255=68,112,66
13 8 rgb255=117,150,143
14 8 rgb255=83,202,153
0 7 rgb255=255,255,255
1 7 rgb255=255,255,255
2 7 rgb255=255,255,255
3 7 rgb255=255,255,255
4 7 rgb255=255,255,255
5 7 rgb255=255,255,255
6 7 rgb255=255,255,255
7 7 rgb255=255,255,255
8 7 rgb255=255,255,255
9 7 rgb255=255,255,255
10 7 rgb255=255,255,255
11 7 rgb255=255,255,255
12 7 rgb255=255,255,255
13 7 rgb255=255,255,255
14 7 rgb255=255,255,255
0 6 rgb255=85,122,88
1 6 rgb255=255,245,199
2 6 rgb255=5,55,42
3 6 rgb255=255,255,255
4 6 rgb255=154,146,104
5 6 rgb255=37,207,215
6 6 rgb255=35,200,183
7 6 rgb255=255,255,255
8 6 rgb255=141,109,197
9 6 rgb255=158,89,132
10 6 rgb255=189,141,154
11 6 rgb255=255,255,255
12 6 rgb255=190,224,224
13 6 rgb255=16,27,6
14 6 rgb255=79,78,78
0 5 rgb255=86,88,86
1 5 rgb255=101,93,117
2 5 rgb255=179,187,170
3 5 rgb255=255,255,255
4 5 rgb255=157,152,102
5 5 rgb255=42,185,237
6 5 rgb255=0,108,255
7 5 rgb255=255,255,255
8 5 rgb255=245,121,171
9 5 rgb255=243,113,158
10 5 rgb255=255,92,139
11 5 rgb255=255,255,255
12 5 rgb255=22,21,0
13 5 rgb255=51,49,61
14 5 rgb255=244,233,214
0 4 rgb255=199,153,187
1 4 rgb255=18,0,55
2 4 rgb255=168,160,154
3 4 rgb255=255,255,255
4 4 rgb255=149,99,116
5 4 rgb255=101,171,221
6 4 rgb255=6,106,236
7 4 rgb255=255,255,255
8 4 rgb255=110,94,159
9 4 rgb255=65,0,180
10 4 rgb255=116,3,178
11 4 rgb255=255,255,255
12 4 rgb255=102,68,78
13 4 rgb255=255,230,252
14 4 rgb255=35,23,58
0 3 rgb255=255,255,255
1 3 rgb255=255,255,255
2 3 rgb255=255,255,255
3 3 rgb255=255,255,255
4 3 rgb255=255,255,255
5 3 rgb255=255,255,255
6 3 rgb255=255,255,255
7 3 rgb255=255,255,255
8 3 rgb255=255,255,255
9 3 rgb255=255,255,255
10 3 rgb255=255,255,255
11 3 rgb255=255,255,255
12 3 rgb255=255,255,255
13 3 rgb255=255,255,255
14 3 rgb255=255,255,255
0 2 rgb255=135,70,90
1 2 rgb255=83,55,32
2 2 rgb255=84,74,36
3 2 rgb255=255,255,255
4 2 rgb255=228,175,242
5 2 rgb255=0,38,84
6 2 rgb255=7,41,39
7 2 rgb255=255,255,255
8 2 rgb255=82,119,75
9 2 rgb255=195,255,251
10 2 rgb255=143,133,105
11 2 rgb255=255,255,255
12 2 rgb255=75,95,75
13 2 rgb255=29,14,0
14 2 rgb255=63,104,167
0 1 rgb255=155,145,143
1 1 rgb255=144,217,152
2 1 rgb255=162,255,197
3 1 rgb255=255,255,255
4 1 rgb255=195,133,128
5 1 rgb255=189,110,190
6 1 rgb255=45,70,89
7 1 rgb255=255,255,255
8 1 rgb255=117,209,206
9 1 rgb255=215,243,252
10 1 rgb255=71,0,13
11 1 rgb255=255,255,255
12 1 rgb255=255,222,202
13 1 rgb255=195,216,185
14 1 rgb255=84,93,82
0 0 rgb255=91,49,113
1 0 rgb255=47,48,81
2 0 rgb255=0,60,73
3 0 rgb255=255,255,255
4 0 rgb255=152,24,51
5 0 rgb255=255,75,102
6 0 rgb255=161,82,108
7 0 rgb255=255,255,255
8 0 rgb255=169,175,171
9 0 rgb255=88,103,117
10 0 rgb255=111,46,31
11 0 rgb255=255,255,255
12 0 rgb255=78,67,85
13 0 rgb255=136,148,115
14 0 rgb255=165,144,140
