x y c
8 3 rgb255=255,255,255
9 3 rgb255=255,255,255
10 3 rgb255=255,255,255
11 3 rgb255=255,255,255
12 3 rgb255=255,255,255
13 3 rgb255=255,255,255
14 3 rgb255=255,255,255
0 2 rgb255=139,113,150
1 2 rgb255=48,126,221
2 2 rgb255=81,207,253
3 2 rgb255=255,255,255
4 2 rgb255=3,145,163
5 2 rgb255=104,81,196
6 2 rgb255=255,134,81
7 2 rgb255=255,255,255
8 2 rgb255=131,255,113
9 2 rgb255=123,183,195
10 2 rgb255=149,114,120
11 2 rgb255=255,255,255
12 2 rgb255=233,108,194
13 2 rgb255=158,104,137
14 2 rgb255=255,210,111
0 1 rgb255=149,148,128
1 1 rgb255=79,188,84
2 1 rgb255=61,123,122
3 1 rgb255=255,255,255
4 1 rgb255=0,84,86
5 1 rgb255=89,136,129
6 1 rgb255=196,31,36
7 1 rgb255=255,255,255
8 1 rgb255=2,80,0
9 1 rgb255=34,64,19
10 1 rgb255=214,117,132
11 1 rgb255=255,255,255
12 1 rgb255=233,0,65
13 1 rgb255=195,195,166
14 1 rgb255=182,164,191
0 0 rgb255=206,120,0
1 0 rgb255=255,103,199
2 0 rgb255=168,111,77
3 0 rgb255=255,255,255
4 0 rgb255=82,179,64
5 0 rgb255=115,121,186
6 0 rgb255=129,171,32
7 0 rgb255=255,255,255
8 0 rgb255=235,221,96
9 0 rgb255=67,60,131
10 0 rgb255=133,225,115
11 0 rgb255=255,255,255
12 0 rgb255=200,215,140
13 0 rgb255=221,61,82
14 0 rgb255=178,144,239
